image_id,storm_id,relative_time,ocean
abs_000,abs,0,2
abs_001,abs,1800,2
abs_002,abs,5400,2
abs_003,abs,17999,2
abs_004,abs,19799,2
abs_005,abs,32399,2
abs_006,abs,34199,2
abs_007,abs,37799,2
abs_008,abs,39599,2
abs_009,abs,41399,2
abs_010,abs,43199,2
abs_011,abs,44999,2
abs_012,abs,48599,2
abs_013,abs,50404,2
abs_014,abs,52200,2
abs_015,abs,54001,2
abs_016,abs,55799,2
abs_017,abs,59400,2
abs_018,abs,61200,2
abs_019,abs,63000,2
abs_020,abs,64800,2
abs_021,abs,66600,2
abs_022,abs,70200,2
abs_023,abs,72000,2
abs_024,abs,73800,2
abs_025,abs,75600,2
abs_026,abs,77400,2
abs_027,abs,81000,2
abs_028,abs,82800,2
abs_029,abs,84600,2
abs_030,abs,86400,2
abs_031,abs,88200,2
abs_032,abs,91800,2
abs_033,abs,104398,2
abs_034,abs,106199,2
abs_035,abs,118799,2
abs_036,abs,120599,2
abs_037,abs,124199,2
abs_038,abs,125998,2
abs_039,abs,127799,2
abs_040,abs,129599,2
abs_041,abs,131399,2
abs_042,abs,134999,2
abs_043,abs,136799,2
abs_044,abs,138600,2
abs_045,abs,140400,2
abs_046,abs,142200,2
abs_047,abs,145799,2
abs_048,abs,147602,2
abs_049,abs,149400,2
abs_050,abs,151200,2
abs_051,abs,153000,2
abs_052,abs,156600,2
abs_053,abs,158400,2
abs_054,abs,160200,2
abs_055,abs,162000,2
abs_056,abs,163800,2
acd_000,acd,0,1
acd_001,acd,1800,1
acd_002,acd,3600,1
acd_003,acd,5400,1
acd_004,acd,12598,1
acd_005,acd,14400,1
acd_006,acd,16200,1
acd_007,acd,18000,1
acd_008,acd,21599,1
acd_009,acd,23398,1
acd_010,acd,25199,1
acd_011,acd,26998,1
acd_012,acd,28798,1
acd_013,acd,32398,1
acd_014,acd,34199,1
acd_015,acd,35999,1
acd_016,acd,37799,1
acd_017,acd,39599,1
acd_018,acd,43198,1
acd_019,acd,44998,1
acd_020,acd,46798,1
acd_021,acd,48598,1
acd_022,acd,50398,1
acd_023,acd,54000,1
acd_024,acd,55800,1
acd_025,acd,57600,1
acd_026,acd,59400,1
acd_027,acd,61200,1
acd_028,acd,64800,1
acd_029,acd,66600,1
acd_030,acd,68401,1
acd_031,acd,70200,1
acd_032,acd,72000,1
acd_033,acd,75600,1
acd_034,acd,77400,1
acd_035,acd,86400,1
acd_036,acd,88200,1
acd_037,acd,90000,1
acd_038,acd,91800,1
acd_039,acd,98999,1
acd_040,acd,100799,1
acd_041,acd,102601,1
acd_042,acd,104400,1
acd_043,acd,107999,1
acd_044,acd,109799,1
acd_045,acd,111598,1
acd_046,acd,113399,1
acd_047,acd,115199,1
acd_048,acd,118798,1
acd_049,acd,120598,1
acd_050,acd,122399,1
acd_051,acd,124198,1
acd_052,acd,125998,1
acd_053,acd,129599,1
acd_054,acd,131398,1
acd_055,acd,133198,1
acd_056,acd,134998,1
acd_057,acd,136798,1
acd_058,acd,140400,1
acd_059,acd,142200,1
acd_060,acd,144000,1
acd_061,acd,145800,1
acd_062,acd,147600,1
acd_063,acd,151200,1
acd_064,acd,153000,1
acd_065,acd,154800,1
acd_066,acd,156601,1
acd_067,acd,158400,1
acd_068,acd,162000,1
acd_069,acd,163800,1
acd_070,acd,172800,1
acd_071,acd,174601,1
acd_072,acd,176400,1
acd_073,acd,178200,1
acd_074,acd,185399,1
acd_075,acd,187199,1
acd_076,acd,188999,1
acd_077,acd,190798,1
acd_078,acd,194399,1
acd_079,acd,196199,1
acd_080,acd,197998,1
acd_081,acd,199799,1
acd_082,acd,201598,1
acd_083,acd,205198,1
acd_084,acd,206998,1
acd_085,acd,208798,1
acd_086,acd,210599,1
acd_087,acd,212398,1
acd_088,acd,215999,1
acd_089,acd,217798,1
acd_090,acd,219599,1
acd_091,acd,221398,1
acd_092,acd,223198,1
acd_093,acd,226800,1
acd_094,acd,228600,1
acd_095,acd,230400,1
acd_096,acd,232200,1
acd_097,acd,234000,1
acd_098,acd,237600,1
acd_099,acd,239400,1
acd_100,acd,241200,1
acd_101,acd,243000,1
acd_102,acd,244800,1
acd_103,acd,248400,1
acd_104,acd,259200,1
acd_105,acd,261000,1
acd_106,acd,262801,1
acd_107,acd,264600,1
acd_108,acd,271798,1
acd_109,acd,273598,1
acd_110,acd,275398,1
acd_111,acd,277198,1
acd_112,acd,280798,1
acd_113,acd,282599,1
acd_114,acd,284399,1
acd_115,acd,286199,1
acd_116,acd,287998,1
acd_117,acd,291599,1
acd_118,acd,293399,1
acd_119,acd,295198,1
acd_120,acd,296999,1
acd_121,acd,298798,1
acd_122,acd,302399,1
aek_000,aek,0,1
aek_001,aek,3600,1
aek_002,aek,7200,1
aek_003,aek,10800,1
aek_004,aek,14400,1
aek_005,aek,18000,1
aek_006,aek,21600,1
aek_007,aek,25200,1
aek_008,aek,28800,1
aek_009,aek,32400,1
aek_010,aek,36000,1
aek_011,aek,39600,1
aek_012,aek,43200,1
aek_013,aek,46800,1
